"","n1","n2","sig11","sig12","sig13","sig14","sig15","sig16","sig17","sig18","sig19","sig21","sig22","sig23","sig24","sig25","sig26","sig27","sig28","sig29","sig_y1","sig_y2","basemu1","basemu2","basemu3","shift","alphas1","alphas2","alphas3","alphas4","betas1","betas2","betas3","betas4","tau1","tau2","gammas1","gammas2","gammas3","sens","spec","outcome_model","tau1hat","tau1tilde","psi1","psi2","tau1mime","tau1mimeunc","tau1naive","tau1oracle"
"52","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",1.01475032141876,0.968815726907328,0.796482970315078,0.687394468043531,0.988675312155423,0.565278418520173,0.796308809310385,1.04135786679776
"53","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",1.09103559365181,1.08855312443293,0.78150582895137,0.748051799489405,1.04767642565431,0.606247283226869,0.781680788951229,1.01056874991677
"54","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",1.10243204995407,1.1216670792099,0.679628615471352,0.733467569198412,1.14231892304015,0.644717934441731,0.678103473980436,1.04526573957998
"55","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",0.894600674821076,0.871924343948873,0.736626948025887,0.680523655014424,0.86706391300301,0.557005527946671,0.734337556208052,0.934644017071178
"56","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",0.989883128728649,1.03409257851441,0.64514062652337,0.736709606992206,1.03256365377248,0.603409254795909,0.643995208849436,1.07335341218525
"57","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",0.989448030360491,0.959070929650444,0.741491275709526,0.700689872675402,1.05514913064762,0.596210347744986,0.744131125881019,1.05012717234479
"58","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",0.829553064831555,0.893010407479501,0.564117255267666,0.648890246164025,0.930513516443329,0.48903610371979,0.564957458727074,0.901250295402548
"59","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",1.04890021369549,1.0850857141105,0.656218235060866,0.704984929473917,1.1369716625954,0.580075719761135,0.652069060436011,1.04995328186293
"60","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",1.07759096981344,1.06086852929194,0.712246262712396,0.691951891242992,1.09083739015223,0.577245818162868,0.712468958773242,0.980323864157877
"61","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",1.08237608788183,1.2265838119753,0.556603036266008,0.714785241410023,1.13321988490501,0.548238411094912,0.558176429764396,1.03164090653078
"62","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",1.30265644590539,1.22005254321792,0.939822732676125,0.775018424192341,1.26072025512924,0.714861129820471,0.943694693657104,1.02238355091455
